PRCP,SNOW,TMAX,TMIN,SNWD_change,SNWD_change_positive,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,snow,rain,freezingrain,ice,day_of_year_y,total_sunlight
0.5,0.0,-14.4,-31.1,153.0,1.0,-12.7,-6.9,-22.6,-12.7,-15.8,77.7,100.0,41.67,44.6,4.4,338.4,1018.4,90.4,10.1,16.2,1.3,1.0,1.0,0.0,0.0,0.0,352.0,31908.0
19.8,0.0,7.2,-15.0,25.0,1.0,-1.6,1.8,-14.9,-4.1,-5.2,77.4,100.0,58.33,85.7,27.5,299.1,1010.6,86.9,11.3,11.3,0.9,1.0,1.0,1.0,0.0,0.0,353.0,31892.0
8.4,0.0,7.2,-19.4,-76.0,0.0,-15.1,-9.5,-22.6,-16.3,-21.4,60.8,0.0,0.0,55.4,16.3,304.2,1038.7,0.0,16.0,90.9,7.8,4.0,0.0,0.0,0.0,0.0,354.0,31882.0
0.0,0.0,-15.6,-21.1,0.0,0.0,-15.4,-6.1,-25.4,-15.8,-20.2,67.9,0.0,0.0,44.3,7.5,346.0,1030.4,2.0,16.0,82.4,7.2,4.0,0.0,0.0,0.0,0.0,355.0,31876.0
0.0,0.0,-6.1,-15.6,0.0,0.0,-2.7,-0.3,-11.7,-4.6,-9.1,62.1,0.0,0.0,58.7,13.0,243.6,1016.5,64.7,16.0,74.9,6.5,3.0,0.0,0.0,0.0,0.0,356.0,31875.0
0.0,0.0,-5.0,-8.9,0.0,0.0,-1.1,0.5,-3.5,-1.4,-4.0,81.2,100.0,41.67,43.2,7.1,304.5,1015.4,91.0,11.4,32.0,2.7,2.0,1.0,1.0,0.0,0.0,357.0,31878.0
19.1,20.0,-5.0,-8.3,0.0,0.0,-0.7,1.4,-6.4,-2.3,-5.4,71.2,0.0,0.0,55.4,13.7,249.1,1023.1,44.0,15.7,78.4,6.7,4.0,1.0,1.0,0.0,0.0,358.0,31887.0
0.0,0.0,2.2,-8.3,0.0,0.0,-0.8,2.7,-6.5,-2.1,-4.3,77.5,100.0,16.67,63.7,17.0,283.0,1018.2,77.3,14.3,29.0,2.5,1.0,1.0,1.0,0.0,0.0,359.0,31899.0
3.8,36.0,1.7,-6.1,25.0,1.0,-3.3,0.8,-16.8,-6.7,-11.5,54.6,100.0,4.17,50.1,24.6,315.3,1031.0,44.0,15.7,83.5,7.1,4.0,1.0,1.0,0.0,0.0,360.0,31917.0
0.0,0.0,-6.1,-12.8,0.0,0.0,-10.6,-0.2,-20.3,-11.1,-15.3,69.3,100.0,16.67,89.6,10.0,28.7,1035.0,47.8,15.5,60.2,5.3,3.0,1.0,1.0,0.0,0.0,361.0,31940.0
10.2,0.0,2.8,-12.2,-25.0,0.0,4.0,6.1,-2.9,1.3,-1.2,70.4,100.0,25.0,97.9,19.9,276.3,1006.0,91.3,14.7,45.0,3.9,2.0,1.0,1.0,0.0,0.0,362.0,31967.0
0.3,0.0,2.2,-7.2,0.0,0.0,-2.0,-1.5,-8.6,-4.8,-7.9,64.3,100.0,4.17,53.3,18.0,289.0,1015.3,92.2,15.4,61.1,5.3,3.0,1.0,1.0,0.0,0.0,363.0,31998.0
0.5,10.0,-7.2,-15.0,0.0,0.0,-4.7,-2.0,-11.5,-6.9,-7.9,78.3,100.0,50.0,46.4,19.6,111.1,1010.0,80.8,8.8,27.3,2.4,2.0,1.0,1.0,0.0,0.0,364.0,32034.0
39.6,361.0,-5.6,-9.4,457.0,1.0,-2.5,-1.4,-12.9,-6.7,-7.2,70.4,100.0,33.33,70.9,25.0,269.9,995.1,95.8,9.9,69.3,5.9,3.0,1.0,1.0,0.0,0.0,365.0,32076.0
2.8,30.0,-7.2,-16.1,51.0,1.0,-7.7,-2.5,-18.6,-10.2,-12.9,67.0,100.0,8.33,48.2,16.7,294.2,1013.5,60.3,14.6,73.7,6.3,3.0,1.0,1.0,0.0,0.0,366.0,32120.0
4.8,43.0,-3.9,-16.1,25.0,1.0,-1.7,-1.4,-8.6,-3.8,-7.1,68.2,100.0,20.83,55.8,21.6,279.2,1017.0,70.8,14.3,71.0,6.1,3.0,1.0,1.0,0.0,0.0,1.0,32171.0
0.3,10.0,-3.9,-16.1,-50.0,0.0,-9.0,2.6,-16.8,-9.0,-13.0,74.1,0.0,0.0,32.4,2.3,341.7,1033.0,1.7,15.9,88.0,7.7,4.0,1.0,0.0,0.0,0.0,2.0,32224.0
0.0,0.0,-3.9,-11.7,-26.0,0.0,-1.6,1.0,-12.6,-3.9,-5.4,75.5,100.0,45.83,60.5,19.3,78.3,1019.3,86.4,14.4,14.2,1.2,1.0,1.0,1.0,0.0,0.0,3.0,32283.0
31.0,130.0,-0.6,-6.1,127.0,1.0,1.2,3.0,-5.7,-1.0,-2.0,79.5,100.0,58.33,57.6,17.7,267.8,994.5,78.1,12.9,56.0,4.8,3.0,1.0,1.0,0.0,0.0,4.0,32346.0
3.6,23.0,-0.6,-15.0,0.0,0.0,-5.0,-8.1,-13.0,-10.2,-13.7,50.6,0.0,0.0,50.0,21.7,239.3,1005.2,68.3,15.5,73.5,6.4,3.0,1.0,0.0,0.0,0.0,5.0,32413.0
1.0,25.0,-13.9,-15.0,26.0,1.0,-9.8,-6.2,-18.2,-11.1,-14.8,68.8,0.0,0.0,36.4,16.0,293.3,1016.9,54.7,15.0,89.6,7.7,4.0,1.0,0.0,0.0,0.0,6.0,32484.0
0.3,10.0,-8.9,-18.9,-77.0,0.0,-15.0,-9.3,-21.9,-15.6,-18.9,72.4,100.0,4.17,28.4,11.0,341.6,1025.4,52.8,15.6,57.7,5.1,3.0,1.0,0.0,0.0,0.0,7.0,32560.0
0.0,0.0,-12.8,-20.6,0.0,0.0,-14.7,-12.6,-22.9,-17.3,-20.7,61.3,100.0,4.17,46.4,14.7,319.2,1022.6,39.8,15.5,97.0,8.5,4.0,1.0,0.0,0.0,0.0,8.0,32640.0
0.3,5.0,-17.8,-23.3,-25.0,0.0,-16.4,-11.0,-25.0,-18.6,-22.8,59.1,0.0,0.0,53.6,10.8,275.6,1035.4,34.3,15.7,81.7,7.1,4.0,0.0,0.0,0.0,0.0,9.0,32723.0
0.0,0.0,-8.3,-23.9,-25.0,0.0,-12.1,-3.3,-23.1,-13.4,-17.6,65.3,100.0,16.67,47.8,19.5,137.4,1033.3,40.3,15.0,75.1,6.5,3.0,1.0,1.0,0.0,0.0,10.0,32810.0
17.3,84.0,-1.7,-8.9,127.0,1.0,4.3,6.8,-2.8,1.8,-3.0,61.8,100.0,33.33,58.6,27.5,214.3,1018.9,33.9,15.4,88.3,7.7,4.0,0.0,1.0,0.0,0.0,11.0,32901.0
0.0,0.0,3.9,-3.9,-26.0,0.0,6.2,10.6,-1.1,5.5,3.2,82.3,100.0,41.67,79.6,14.7,273.9,1012.8,85.0,11.2,38.2,3.2,2.0,0.0,1.0,0.0,0.0,12.0,32996.0
3.0,0.0,6.1,-5.0,-152.0,0.0,-1.9,6.3,-17.4,-6.9,-9.4,57.9,100.0,8.33,69.5,33.0,294.3,1026.5,52.7,15.3,80.2,7.0,4.0,1.0,1.0,0.0,0.0,13.0,33094.0
0.0,0.0,-5.0,-20.6,0.0,0.0,-11.9,-7.4,-18.3,-12.8,-19.6,55.4,0.0,0.0,47.5,12.5,332.7,1034.2,37.3,16.0,101.8,8.8,4.0,0.0,0.0,0.0,0.0,14.0,33197.0
0.0,0.0,-8.9,-19.4,0.0,0.0,-7.9,-9.4,-13.3,-10.9,-14.0,62.5,0.0,0.0,60.5,18.3,285.4,1025.9,47.0,14.3,87.3,7.5,4.0,0.0,0.0,0.0,0.0,15.0,33303.0
0.0,0.0,-9.4,-14.4,-26.0,0.0,-8.0,1.5,-17.1,-8.7,-14.0,65.1,0.0,0.0,55.4,8.9,319.6,1026.1,10.6,16.0,103.1,8.8,4.0,0.0,0.0,0.0,0.0,16.0,33411.0
0.0,0.0,-2.8,-9.4,0.0,0.0,-3.6,2.5,-11.2,-4.6,-9.1,66.4,0.0,0.0,49.0,17.7,136.4,1022.6,34.8,15.5,93.1,8.1,4.0,1.0,1.0,0.0,0.0,17.0,33523.0
10.9,89.0,-2.8,-8.3,102.0,1.0,-2.0,-1.9,-6.3,-4.1,-5.4,77.7,100.0,58.33,38.5,16.7,51.2,1017.5,90.2,10.4,33.6,2.8,2.0,1.0,1.0,0.0,0.0,18.0,33639.0
10.9,66.0,-3.9,-8.3,51.0,1.0,-0.4,2.2,-2.8,-0.6,-2.9,83.5,100.0,16.67,40.3,7.6,314.6,1015.4,92.2,12.8,52.0,4.5,2.0,1.0,0.0,0.0,0.0,19.0,33757.0
1.0,5.0,-3.3,-8.9,-26.0,0.0,-0.7,2.6,-3.8,-1.1,-4.3,76.9,0.0,0.0,26.3,7.1,352.8,1014.9,81.0,15.7,86.1,7.5,4.0,0.0,0.0,0.0,0.0,20.0,33879.0
0.0,0.0,1.7,-9.4,0.0,0.0,0.6,4.0,-2.0,0.6,-1.7,84.4,0.0,0.0,34.2,3.1,324.7,1009.2,90.9,12.2,26.1,2.3,1.0,0.0,0.0,0.0,0.0,21.0,34004.0
0.0,0.0,2.2,-2.2,-25.0,0.0,1.5,2.8,-2.9,-0.2,-1.0,83.9,0.0,0.0,37.1,16.0,78.8,1011.2,92.9,11.6,30.8,2.6,1.0,0.0,0.0,0.0,0.0,22.0,34131.0
0.5,0.0,1.1,-10.6,0.0,0.0,-1.9,-2.7,-8.3,-6.4,-7.5,65.5,0.0,0.0,45.4,19.8,85.9,1018.0,59.7,16.0,68.0,5.9,3.0,1.0,1.0,0.0,0.0,23.0,34261.0
16.3,86.0,-5.6,-11.1,76.0,1.0,-0.5,-1.0,-10.4,-5.5,-4.1,77.1,100.0,79.17,61.8,31.2,53.2,1003.7,89.7,8.9,16.6,1.3,1.0,1.0,1.0,0.0,0.0,24.0,34394.0
26.7,71.0,-0.6,-5.6,102.0,1.0,-0.6,0.8,-4.9,-2.3,-3.6,80.4,100.0,8.33,50.0,13.1,280.5,998.1,86.9,14.4,68.7,6.1,3.0,1.0,1.0,0.0,0.0,25.0,34529.0
0.0,0.0,-0.6,-4.4,-26.0,0.0,1.2,5.4,-5.2,-0.4,-2.2,78.6,100.0,25.0,70.6,17.3,261.1,991.6,73.3,14.5,90.3,7.8,4.0,1.0,1.0,0.0,0.0,26.0,34667.0
10.4,69.0,0.0,-6.7,77.0,1.0,0.3,-2.9,-8.0,-4.1,-5.7,64.8,100.0,25.0,68.8,22.3,262.7,992.1,84.0,12.2,69.3,6.2,3.0,1.0,1.0,0.0,0.0,27.0,34807.0
6.1,58.0,-6.7,-10.6,101.0,1.0,-1.5,-2.4,-8.2,-5.3,-7.3,64.9,100.0,4.17,67.0,22.6,266.1,997.4,86.1,12.7,76.8,6.6,3.0,1.0,1.0,0.0,0.0,28.0,34950.0
0.8,15.0,-8.9,-10.6,0.0,0.0,-1.1,-2.0,-6.5,-4.1,-7.6,62.6,0.0,0.0,38.9,19.0,241.0,1001.9,77.7,14.3,102.2,8.8,4.0,1.0,1.0,0.0,0.0,29.0,35095.0
3.6,86.0,-7.8,-13.3,76.0,1.0,-6.6,-5.7,-16.3,-9.6,-12.4,64.6,100.0,4.17,38.9,16.0,298.8,1007.0,70.4,15.6,96.7,8.3,4.0,1.0,0.0,0.0,0.0,30.0,35242.0
0.0,5.0,-12.2,-17.8,-25.0,0.0,-11.7,-4.8,-20.4,-12.4,-18.0,60.9,0.0,0.0,38.2,11.7,302.5,1012.4,20.6,15.5,127.1,11.0,5.0,0.0,0.0,0.0,0.0,31.0,35391.0
0.0,10.0,-11.1,-17.8,-25.0,0.0,-7.5,-2.8,-14.0,-7.9,-10.8,77.3,100.0,29.17,39.2,6.6,256.2,1010.5,82.1,10.5,69.2,6.0,4.0,1.0,1.0,0.0,0.0,32.0,35542.0
2.3,48.0,-10.0,-11.1,25.0,1.0,-6.3,-3.8,-13.5,-9.0,-12.0,66.1,100.0,4.17,55.4,20.4,276.7,1014.1,67.0,15.0,113.9,9.8,4.0,1.0,0.0,0.0,0.0,33.0,35695.0
1.8,38.0,-10.6,-15.0,0.0,0.0,-8.5,-7.3,-15.0,-11.1,-13.8,66.4,0.0,0.0,56.2,18.4,286.3,1017.5,71.7,14.1,104.7,9.1,5.0,1.0,0.0,0.0,0.0,34.0,35850.0
0.5,20.0,-11.7,-17.2,-25.0,0.0,-7.6,-8.2,-16.5,-12.2,-15.0,56.5,0.0,0.0,66.2,16.9,265.7,1020.1,63.2,15.1,116.3,10.0,5.0,0.0,0.0,0.0,0.0,35.0,36006.0
0.0,10.0,-12.2,-17.2,-26.0,0.0,-4.5,-2.0,-13.7,-7.0,-12.2,56.9,100.0,4.17,57.6,17.5,238.8,1010.8,71.3,15.7,111.7,9.6,5.0,1.0,1.0,0.0,0.0,36.0,36164.0
2.0,53.0,-7.8,-16.7,51.0,1.0,-7.3,-5.9,-17.1,-11.5,-14.7,56.8,100.0,16.67,61.6,19.3,283.2,1015.4,59.3,12.4,134.3,11.6,6.0,1.0,1.0,0.0,0.0,37.0,36325.0
3.0,48.0,-10.0,-16.7,25.0,1.0,-7.7,-6.8,-15.2,-11.8,-11.5,74.7,100.0,70.83,49.7,19.6,60.1,1017.5,93.0,6.8,39.2,3.5,2.0,1.0,0.0,0.0,0.0,38.0,36487.0
23.1,185.0,0.0,-12.8,178.0,1.0,0.1,3.6,-8.9,-2.2,-4.1,74.4,100.0,37.5,61.6,16.5,297.2,1002.4,53.0,14.3,73.0,6.2,4.0,1.0,1.0,0.0,0.0,39.0,36649.0
0.3,0.0,1.7,-12.2,-76.0,0.0,-9.7,-3.5,-23.6,-14.8,-14.3,69.3,100.0,41.67,70.6,21.0,347.9,1007.2,83.3,8.8,33.8,3.0,1.0,1.0,0.0,0.0,0.0,40.0,36814.0
9.4,61.0,-11.1,-21.7,51.0,1.0,-16.3,-16.0,-25.7,-21.6,-23.0,56.6,0.0,0.0,72.7,28.7,296.9,1017.2,57.2,13.4,133.7,11.6,5.0,1.0,0.0,0.0,0.0,41.0,36979.0
0.5,10.0,-13.9,-23.9,0.0,0.0,-12.5,-9.2,-19.8,-14.7,-16.1,75.1,100.0,33.33,31.0,10.0,348.5,1019.1,94.0,9.8,41.3,3.7,2.0,1.0,0.0,0.0,0.0,42.0,37146.0
0.5,30.0,-9.4,-14.4,0.0,0.0,-8.9,-8.5,-18.3,-12.3,-11.8,79.5,100.0,45.83,44.6,18.0,55.1,1017.6,80.5,9.3,44.6,3.8,2.0,1.0,0.0,0.0,0.0,43.0,37315.0
27.9,424.0,-9.4,-10.6,406.0,1.0,-5.6,-6.0,-12.9,-10.7,-9.9,72.2,100.0,45.83,47.2,24.8,346.2,1005.0,91.1,8.1,66.1,5.6,3.0,1.0,0.0,0.0,0.0,44.0,37484.0
3.6,61.0,-10.0,-13.3,26.0,1.0,-7.7,-3.0,-13.1,-8.0,-11.8,72.9,0.0,0.0,44.6,6.5,325.2,1010.0,61.2,14.8,122.8,10.7,5.0,1.0,0.0,0.0,0.0,45.0,37654.0
0.0,8.0,-5.6,-13.3,0.0,0.0,-3.8,-0.3,-12.0,-5.6,-6.5,82.1,100.0,66.67,38.2,12.9,18.2,998.9,86.7,9.1,69.3,6.1,3.0,1.0,1.0,0.0,0.0,46.0,37826.0
20.3,206.0,-6.7,-9.4,127.0,1.0,-3.8,-4.6,-11.2,-7.6,-7.5,75.8,100.0,29.17,75.6,20.6,293.1,996.0,80.8,7.4,107.9,9.2,5.0,1.0,1.0,0.0,0.0,47.0,37999.0
7.6,61.0,-8.9,-12.2,-77.0,0.0,-6.2,-5.0,-15.8,-9.8,-12.7,61.6,0.0,0.0,61.6,16.5,275.3,1005.7,41.8,12.7,139.0,12.2,5.0,0.0,0.0,0.0,0.0,48.0,38172.0
0.5,0.0,-6.1,-11.7,-50.0,0.0,-5.0,8.3,-16.0,-5.1,-10.4,68.5,0.0,0.0,58.7,5.3,357.9,1003.9,27.2,14.7,141.5,12.3,6.0,0.0,0.0,0.0,0.0,49.0,38347.0
0.0,0.0,2.8,-6.1,-77.0,0.0,5.5,10.3,-3.9,3.5,-1.3,62.7,0.0,0.0,60.5,26.4,288.8,1005.0,72.5,15.4,105.6,9.2,4.0,0.0,0.0,0.0,0.0,50.0,38522.0
1.3,5.0,2.2,-8.9,-50.0,0.0,-0.9,-1.3,-9.3,-4.8,-9.5,53.2,0.0,0.0,56.5,21.5,328.6,1022.2,50.4,16.0,156.0,13.4,6.0,0.0,0.0,0.0,0.0,51.0,38698.0
0.0,0.0,-3.3,-11.7,-26.0,0.0,-3.9,5.6,-15.4,-4.2,-11.5,59.5,0.0,0.0,34.6,8.7,347.5,1024.9,3.7,16.0,160.1,13.9,6.0,0.0,0.0,0.0,0.0,52.0,38875.0
0.0,0.0,2.8,-11.7,0.0,0.0,2.9,10.9,-2.8,2.8,-3.5,64.5,0.0,0.0,31.0,6.3,347.8,1014.2,48.0,15.9,119.0,10.2,5.0,0.0,0.0,0.0,0.0,53.0,39053.0
0.0,0.0,6.1,0.0,-51.0,0.0,5.2,17.7,-4.8,5.2,-0.8,68.8,0.0,0.0,53.6,16.1,224.8,1008.4,48.0,15.5,133.0,11.5,5.0,0.0,0.0,0.0,0.0,54.0,39231.0
0.0,0.0,8.3,3.9,-152.0,0.0,4.8,13.8,-1.1,4.8,2.1,84.2,100.0,20.83,57.6,4.9,349.6,1011.4,50.7,9.5,103.6,8.8,5.0,0.0,1.0,0.0,0.0,55.0,39409.0
3.6,0.0,10.0,5.0,-152.0,0.0,8.2,14.8,0.3,8.0,4.7,79.9,100.0,20.83,72.0,31.0,155.8,1004.5,62.1,10.4,73.5,6.2,3.0,0.0,1.0,0.0,0.0,56.0,39590.0
6.1,5.0,7.8,-8.3,-127.0,0.0,-1.4,2.1,-9.4,-5.4,-7.9,62.1,100.0,29.17,61.2,26.5,289.5,1008.2,54.7,14.5,158.3,13.5,7.0,1.0,1.0,0.0,0.0,57.0,39770.0
0.0,0.0,-7.2,-11.7,0.0,0.0,0.1,4.2,-9.9,-1.5,-8.0,56.9,0.0,0.0,49.0,23.4,250.1,1022.1,48.7,16.0,168.3,14.5,7.0,0.0,0.0,0.0,0.0,58.0,39949.0
0.0,0.0,-2.2,-7.2,-26.0,0.0,2.8,9.1,-5.1,1.9,-4.6,61.1,0.0,0.0,37.8,15.9,134.6,1025.5,47.5,16.0,130.4,11.4,5.0,0.0,0.0,0.0,0.0,59.0,40131.0
0.0,0.0,3.9,-3.9,0.0,0.0,6.2,13.0,2.6,6.1,3.6,83.9,100.0,37.5,56.9,11.2,302.7,1000.8,88.5,11.4,47.9,4.2,2.0,0.0,1.0,0.0,0.0,60.0,40313.0
20.6,0.0,6.7,-3.3,-101.0,0.0,-1.2,6.6,-15.3,-6.4,-7.3,63.9,100.0,41.67,72.0,34.1,275.2,998.7,61.0,13.4,168.0,14.6,6.0,1.0,1.0,0.0,0.0,61.0,40495.0
1.8,15.0,-2.2,-17.2,25.0,1.0,-8.7,-10.4,-20.1,-14.4,-17.5,50.0,0.0,0.0,46.1,19.5,290.6,1020.0,53.0,15.5,189.8,16.4,7.0,1.0,0.0,0.0,0.0,62.0,40676.0
2.3,25.0,-12.2,-23.9,0.0,0.0,-15.6,-16.6,-27.7,-23.9,-23.6,51.1,0.0,0.0,75.6,32.4,306.0,1029.2,74.1,13.6,184.7,16.1,7.0,1.0,0.0,0.0,0.0,63.0,40859.0
0.5,0.0,-13.3,-26.1,0.0,0.0,-12.5,-11.4,-24.3,-17.2,-23.6,42.4,0.0,0.0,71.3,22.2,325.5,1034.1,4.7,16.0,211.6,18.2,7.0,0.0,0.0,0.0,0.0,64.0,41042.0
